hgnc_id	entrez_id	ensembl_gene_id	location_sortable	symbol	name	gene_family	pubmed_id
HGNC:30926	56986	ENSG00000104047	15q21.2	DTWD1	DTW domain containing 1		
HGNC:19334	285605	ENSG00000169570	05q23.1	DTWD2	DTW domain containing 2		
HGNC:3060	1840	ENSG00000135144	12q24.13	DTX1	deltex E3 ubiquitin ligase 1		9590294|12670957
HGNC:15973	113878	ENSG00000091073	07q11.23	DTX2	deltex E3 ubiquitin ligase 2	Ring finger proteins	12670957
HGNC:24457	196403	ENSG00000178498	12q13.3	DTX3	deltex E3 ubiquitin ligase 3	Ring finger proteins	12670957
HGNC:30323	151636	ENSG00000163840	03q21.1	DTX3L	deltex E3 ubiquitin ligase 3L	Ring finger proteins	12670957|22411408
HGNC:29151	23220	ENSG00000110042	11q12.1	DTX4	deltex E3 ubiquitin ligase 4	Ring finger proteins	10231032|22388039
HGNC:3061	1841	ENSG00000168393	02q37.3	DTYMK	deoxythymidylate kinase		2017365|8024690
HGNC:3062	53905	ENSG00000137857	15q21.1	DUOX1	dual oxidase 1	EF-hand domain containing	10806195
HGNC:13273	50506	ENSG00000140279	15q21.1	DUOX2	dual oxidase 2	EF-hand domain containing	10601291|10806195
HGNC:26507	90527	ENSG00000140254	15q21.1	DUOXA1	dual oxidase maturation factor 1		16651268
HGNC:32698	405753	ENSG00000140274	15q21.1	DUOXA2	dual oxidase maturation factor 2		16651268
HGNC:23481	338599	ENSG00000188716	10q22.2	DUPD1	dual specificity phosphatase and pro isomerase domain containing 1	Atypical dual specificity phosphatases	
HGNC:30086	64118	ENSG00000169718	17q25.3	DUS1L	dihydrouridine synthase 1 like		12477932
HGNC:26014	54920	ENSG00000167264	16q22.1	DUS2	dihydrouridine synthase 2		15994936|22741570
HGNC:26920	56931	ENSG00000141994	19p13.3	DUS3L	dihydrouridine synthase 3 like		12477932
HGNC:21517	11062	ENSG00000105865	07q22.3	DUS4L	dihydrouridine synthase 4 like		
HGNC:3064	1843	ENSG00000120129	05q35.1	DUSP1	dual specificity phosphatase 1	MAP kinase phosphatases	1406996|7806236
HGNC:3068	1844	ENSG00000158050	02q11.2	DUSP2	dual specificity phosphatase 2	MAP kinase phosphatases	7806236|7590752|12673251
HGNC:3069	1845	ENSG00000108861	17q21.31	DUSP3	dual specificity phosphatase 3	Atypical dual specificity phosphatases	7829094
HGNC:3070	1846	ENSG00000120875	08p12	DUSP4	dual specificity phosphatase 4	MAP kinase phosphatases	7535768|9205128
HGNC:3071	1847	ENSG00000138166	10q25.2	DUSP5	dual specificity phosphatase 5	MAP kinase phosphatases	7806236
HGNC:3072	1848	ENSG00000139318	12q21.33	DUSP6	dual specificity phosphatase 6	MAP kinase phosphatases	8626780|9205128
HGNC:3073	1849	ENSG00000164086	03p21.2	DUSP7	dual specificity phosphatase 7	MAP kinase phosphatases	8626780|9205128
HGNC:3074	1850	ENSG00000184545	11p15.5	DUSP8	dual specificity phosphatase 8	MAP kinase phosphatases	7561881|9192849
HGNC:3076	1852	ENSG00000130829	Xq28	DUSP9	dual specificity phosphatase 9	MAP kinase phosphatases	9030581|9286695
HGNC:3065	11221	ENSG00000143507	01q41	DUSP10	dual specificity phosphatase 10	MAP kinase phosphatases	10391943|10597297
HGNC:3066	8446	ENSG00000144048	02p13.1	DUSP11	dual specificity phosphatase 11	Atypical dual specificity phosphatases	9685386
HGNC:3067	11266	ENSG00000081721	01q23.3	DUSP12	dual specificity phosphatase 12	Atypical dual specificity phosphatases	10446167
HGNC:19681	51207	ENSG00000079393	10q22.2	DUSP13	dual specificity phosphatase 13	Atypical dual specificity phosphatases	10585869
HGNC:17007	11072	ENSG00000276023	17q12	DUSP14	dual specificity phosphatase 14	Atypical dual specificity phosphatases	11123293
HGNC:16236	128853	ENSG00000149599	20q11.21	DUSP15	dual specificity phosphatase 15	Atypical dual specificity phosphatases	15138252
HGNC:17909	80824	ENSG00000111266	12p13.2	DUSP16	dual specificity phosphatase 16	MAP kinase phosphatases	11359773|11489891|15888437
HGNC:18484	150290	ENSG00000167065	22q12.1	DUSP18	dual specificity phosphatase 18	Atypical dual specificity phosphatases	12408986
HGNC:18894	142679	ENSG00000162999	02q32.1	DUSP19	dual specificity phosphatase 19	Atypical dual specificity phosphatases	
HGNC:20476	63904	ENSG00000189037	Xp11.3	DUSP21	dual specificity phosphatase 21	Atypical dual specificity phosphatases	12408986
HGNC:16077	56940	ENSG00000112679	06p25.3	DUSP22	dual specificity phosphatase 22	Atypical dual specificity phosphatases	9205128|11717427
HGNC:21480	54935	ENSG00000158716	01q23.2	DUSP23	dual specificity phosphatase 23	Atypical dual specificity phosphatases	15147733
HGNC:28161	78986	ENSG00000133878	08p12	DUSP26	dual specificity phosphatase 26 (putative)	Atypical dual specificity phosphatases	
HGNC:25034	92235	ENSG00000198842	01q24.1	DUSP27	dual specificity phosphatase 27 (putative)		
HGNC:33237	285193	ENSG00000188542	02q37.3	DUSP28	dual specificity phosphatase 28	Atypical dual specificity phosphatases	
HGNC:3078	1854	ENSG00000128951	15q21.1	DUT	deoxyuridine triphosphatase		1325640|9070952
HGNC:50800	100288687	ENSG00000260596	04q35.2	DUX4	double homeobox 4		20724583
HGNC:32179	503835	ENSG00000258873	19q13.43	DUXA	double homeobox A	PRD class homeoboxes and pseudogenes	
HGNC:3084	1855	ENSG00000107404	01p36.33	DVL1	dishevelled segment polarity protein 1	Dishevelled segment polarity proteins|PDZ domain containing	8817329
HGNC:3086	1856	ENSG00000004975	17p13.1	DVL2	dishevelled segment polarity protein 2	Dishevelled segment polarity proteins|PDZ domain containing	8662242
HGNC:3087	1857	ENSG00000161202	03q27.1	DVL3	dishevelled segment polarity protein 3	Dishevelled segment polarity proteins|PDZ domain containing	8817329
HGNC:2992	1797	ENSG00000204348	06p21.33	DXO	decapping exoribonuclease		9799600|23523372
HGNC:23460	143241	ENSG00000170788	10q23.1	DYDC1	DPY30 domain containing 1		
HGNC:23468	84332	ENSG00000133665	10q23.1	DYDC2	DPY30 domain containing 2		12477932
HGNC:21317	54808	ENSG00000141627	18q21.1	DYM	dymeclin		
HGNC:26808	284254	ENSG00000178690	18q21.2	DYNAP	dynactin associated protein		20978158
HGNC:2961	1778	ENSG00000197102	14q32.31	DYNC1H1	dynein cytoplasmic 1 heavy chain 1	"Dyneins, cytoplasmic"	16260502|8666668
HGNC:2963	1780	ENSG00000158560	07q21.3	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1	"WD repeat domain containing|Dyneins, cytoplasmic"	10049579|16260502
HGNC:2964	1781	ENSG00000077380	02q31.1	DYNC1I2	dynein cytoplasmic 1 intermediate chain 2	"WD repeat domain containing|Dyneins, cytoplasmic"	10049579|16260502
HGNC:18745	51143	ENSG00000144635	03p22.3	DYNC1LI1	dynein cytoplasmic 1 light intermediate chain 1	"Dyneins, cytoplasmic"	16260502
HGNC:2966	1783	ENSG00000135720	16q22.1	DYNC1LI2	dynein cytoplasmic 1 light intermediate chain 2	"Dyneins, cytoplasmic"	16260502
HGNC:2962	79659	ENSG00000187240	11q22.3	DYNC2H1	dynein cytoplasmic 2 heavy chain 1	"Dyneins, cytoplasmic"	9763680|9373155
HGNC:24595	51626	ENSG00000138036	02p21	DYNC2LI1	dynein cytoplasmic 2 light intermediate chain 1	"Dyneins, cytoplasmic"	10810093|11907264
HGNC:15476	8655	ENSG00000088986	12q24.31	DYNLL1	dynein light chain LC8-type 1	"Dyneins, cytoplasmic"	8628263|8864115|16260502
HGNC:24596	140735	ENSG00000264364	17q22	DYNLL2	dynein light chain LC8-type 2	"Dyneins, cytoplasmic"	16260502
HGNC:15468	83658	ENSG00000125971	20q11.22	DYNLRB1	dynein light chain roadblock-type 1	"Dyneins, cytoplasmic"	11750132|16260502
HGNC:15467	83657	ENSG00000168589	16q23.2	DYNLRB2	dynein light chain roadblock-type 2	"Dyneins, cytoplasmic"	11750132|16260502
HGNC:11697	6993	ENSG00000146425	06q25.3	DYNLT1	dynein light chain Tctex-type 1	"Dyneins, cytoplasmic"	8646886|16260502
HGNC:11694	6990	ENSG00000165169	Xp11.4	DYNLT3	dynein light chain Tctex-type 3	"Dyneins, cytoplasmic"	8004092
HGNC:3091	1859	ENSG00000157540	21q22.13	DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A		9284911
HGNC:3092	9149	ENSG00000105204	19q13.2	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B		9918863
HGNC:3093	8445	ENSG00000127334	12q15	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2		9748265
HGNC:3094	8444	ENSG00000143479	01q32.1	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3		9748265
HGNC:3095	8798	ENSG00000010219	12p13.32	DYRK4	dual specificity tyrosine phosphorylation regulated kinase 4		9748265
HGNC:3097	8291	ENSG00000135636	02p13.2	DYSF	dysferlin	Ferlin family	8320700
HGNC:23279	391475	ENSG00000232125	02q33.3	DYTN	dystrotelin	Zinc fingers ZZ-type	17233888
HGNC:21493	161582	ENSG00000256061	15q21.3	DYX1C1	dyslexia susceptibility 1 candidate 1	Tetratricopeptide repeat domain containing	12954984|23872636
HGNC:15858	55184	ENSG00000089091	20p11.23	DZANK1	double zinc ribbon and ankyrin repeat domains 1	Ankyrin repeat domain containing	
HGNC:20908	22873	ENSG00000134874	13q32.1	DZIP1	DAZ interacting zinc finger protein 1		
HGNC:26551	199221	ENSG00000158163	03q22.3	DZIP1L	DAZ interacting zinc finger protein 1 like		12477932
HGNC:30938	9666	ENSG00000198919	03q13.13	DZIP3	DAZ interacting zinc finger protein 3	Ring finger proteins|Protein phosphatase 1 regulatory subunits	9734811|12538761
HGNC:3113	1869	ENSG00000101412	20q11.22	E2F1	E2F transcription factor 1	E2F transcription factors	8964493
HGNC:3114	1870	ENSG00000007968	01p36.12	E2F2	E2F transcription factor 2	E2F transcription factors	8246995|8246996
HGNC:3115	1871	ENSG00000112242	06p22.3	E2F3	E2F transcription factor 3	E2F transcription factors	8246996
HGNC:3118	1874	ENSG00000205250	16q22.1	E2F4	E2F transcription factor 4	E2F transcription factors	7958924|7892279
HGNC:3119	1875	ENSG00000133740	08q21.2	E2F5	E2F transcription factor 5	E2F transcription factors	7892279
HGNC:3120	1876	ENSG00000169016	02p25.1	E2F6	E2F transcription factor 6	E2F transcription factors	9501179
HGNC:23820	144455	ENSG00000165891	12q21.2	E2F7	E2F transcription factor 7	E2F transcription factors	12893818
HGNC:24727	79733	ENSG00000129173	11p15.1	E2F8	E2F transcription factor 8	E2F transcription factors	15722552
HGNC:3121	1877	ENSG00000167967	16p13.3	E4F1	E4F transcription factor 1	Zinc fingers C2H2-type	8828041|9530632|9763670
HGNC:20907	85403	ENSG00000144597	03p25.1	EAF1	ELL associated factor 1		11418481
HGNC:23115	55840	ENSG00000145088	03q13.33	EAF2	ELL associated factor 2		12446457|12907652
HGNC:19312	55837	ENSG00000129518	14q13.1	EAPP	E2F associated phosphoprotein		15716352
HGNC:29419	124454	ENSG00000103356	16p12.2	EARS2	"glutamyl-tRNA synthetase 2, mitochondrial"	"Aminoacyl tRNA synthetases, Class I"	15779907|19805282|22492562
HGNC:3123	9166	ENSG00000147654	08q23.2	EBAG9	"estrogen receptor binding site associated, antigen, 9"		
HGNC:3126	1879	ENSG00000164330	05q33.3	EBF1	early B-cell factor 1		8012110
HGNC:19090	64641	ENSG00000221818	08p21.2	EBF2	early B-cell factor 2		9151732
HGNC:19087	253738	ENSG00000108001	10q26.3	EBF3	early B-cell factor 3		12355068
HGNC:29278	57593	ENSG00000088881	20p13	EBF4	early B-cell factor 4		10718198
HGNC:3129	10148	ENSG00000105246	19p13.3	EBI3	Epstein-Barr virus induced 3	Fibronectin type III domain containing|Minor histocompatibility antigens	8551575
HGNC:39430	340900	ENSG00000223601	10p12.31	EBLN1	endogenous Bornavirus-like nucleoprotein 1		20054395|20686665
HGNC:25493	55096	ENSG00000255423	03p13	EBLN2	endogenous Bornavirus-like nucleoprotein 2		20054395|20686665
HGNC:15531	10969	ENSG00000117395	01p34.2	EBNA1BP2	EBNA1 binding protein 2		10074103|11438656
HGNC:3133	10682	ENSG00000147155	Xp11.23	EBP	emopamil binding protein (sterol isomerase)		7706302|8938429
HGNC:18061	84650	ENSG00000123179	13q14.2	EBPL	emopamil binding protein like		
HGNC:17029	11319	ENSG00000122882	10q22.2	ECD	ecdysoneless cell cycle regulator		9928932|15128659
HGNC:3146	1889	ENSG00000117298	01p36.12	ECE1	endothelin converting enzyme 1		7805846|7864876|17592116
HGNC:13275	9718	ENSG00000145194	03q27.1	ECE2	endothelin converting enzyme 2		11718899
HGNC:3147	9427	ENSG00000171551	02q37.1	ECEL1	endothelin converting enzyme like 1		9931490|11352565
HGNC:3149	1891	ENSG00000104823	19q13.2	ECH1	enoyl-CoA hydratase 1		7558027
HGNC:21489	55862	ENSG00000093144	06q22.33	ECHDC1	ethylmalonyl-CoA decarboxylase 1		22016388
HGNC:23408	55268	ENSG00000121310	01p32.3	ECHDC2	enoyl-CoA hydratase domain containing 2		
HGNC:23489	79746	ENSG00000134463	10p14	ECHDC3	enoyl-CoA hydratase domain containing 3		12477932
HGNC:3151	1892	ENSG00000127884	10q26.3	ECHS1	"enoyl-CoA hydratase, short chain 1"		8012501|25393721
HGNC:2703	1632	ENSG00000167969	16p13.3	ECI1	enoyl-CoA delta isomerase 1		7829074
HGNC:14601	10455	ENSG00000198721	06p25.2	ECI2	enoyl-CoA delta isomerase 2		10419495
HGNC:3153	1893	ENSG00000143369	01q21.2	ECM1	extracellular matrix protein 1		9367673|9501329
HGNC:3154	1842	ENSG00000106823	09q22.31	ECM2	extracellular matrix protein 2		9790758
HGNC:35454	641700	ENSG00000249751	05q31.2	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator		18556573
HGNC:29548	51295	ENSG00000130159	19p13.2	ECSIT	ECSIT signalling integrator	Mitochondrial respiratory chain complex assembly factors	10465784|22982022
HGNC:3155	1894	ENSG00000114346	03q26.31	ECT2	epithelial cell transforming 2	Rho guanine nucleotide exchange factors	8464478|10579713
HGNC:21118	345930	ENSG00000203734	06q24.1	ECT2L	epithelial cell transforming 2 like	F-boxes other|Rho guanine nucleotide exchange factors	
HGNC:3157	1896	ENSG00000158813	Xq13.1	EDA	ectodysplasin A	Tumor necrosis factor superfamily	8696334|18657636|16583127
HGNC:17756	60401	ENSG00000131080	Xq12	EDA2R	ectodysplasin A2 receptor	Tumor necrosis factor receptor superfamily	11039935
HGNC:2895	10913	ENSG00000135960	02q13	EDAR	ectodysplasin A receptor	Tumor necrosis factor receptor superfamily	10431241|9375732
HGNC:14341	128178	ENSG00000186197	01q42.3-q43	EDARADD	EDAR associated death domain		11780064
HGNC:26114	80153	ENSG00000179151	15q24.1	EDC3	enhancer of mRNA decapping 3		15225602|17533573|22483619
HGNC:17157	23644	ENSG00000038358	16q22.1	EDC4	enhancer of mRNA decapping 4		9067524
HGNC:16978	10876	ENSG00000181562	14q11.2	EDDM3A	epididymal protein 3A		7514008
HGNC:19223	64184	ENSG00000181552	14q11.2	EDDM3B	epididymal protein 3B		7514008
HGNC:18967	9695	ENSG00000134109	03p26.1	EDEM1	ER degradation enhancing alpha-mannosidase like protein 1		12610306
HGNC:15877	55741	ENSG00000088298	20q11.22	EDEM2	ER degradation enhancing alpha-mannosidase like protein 2		15537790|15579471
HGNC:16787	80267	ENSG00000116406	01q25.3	EDEM3	ER degradation enhancing alpha-mannosidase like protein 3		15537790|15579471
HGNC:3164	8721	ENSG00000107223	09q34.3	EDF1	endothelial differentiation related factor 1		9813014|15112053
HGNC:3173	10085	ENSG00000164176	05q14.3	EDIL3	EGF like repeats and discoidin domains 3		9420328
HGNC:3176	1906	ENSG00000078401	06p24.1	EDN1	endothelin 1	Endogenous ligands	
HGNC:3177	1907	ENSG00000127129	01p34.2	EDN2	endothelin 2	Endogenous ligands	
HGNC:3178	1908	ENSG00000124205	20q13.32	EDN3	endothelin 3	Endogenous ligands	
HGNC:3179	1909	ENSG00000151617	04q31.22-q31.23	EDNRA	endothelin receptor type A	Endothelin receptors	1659806
HGNC:3180	1910	ENSG00000136160	13q22.3	EDNRB	endothelin receptor type B	Endothelin receptors	1659806|9556633
HGNC:24640	26098	ENSG00000107938	10q26.2	EDRF1	erythroid differentiation regulatory factor 1		12609092
HGNC:3185	8411	ENSG00000102189	12q22	EEA1	early endosome antigen 1	Zinc fingers FYVE-type	7768953|9697774
HGNC:3188	8726	ENSG00000074266	11q14.2	EED	embryonic ectoderm development	WD repeat domain containing	9765275|9806832
HGNC:3189	1915	ENSG00000156508	06q13	EEF1A1	eukaryotic translation elongation factor 1 alpha 1		8812466|10941842
HGNC:3192	1917	ENSG00000101210	20q13.33	EEF1A2	eukaryotic translation elongation factor 1 alpha 2		8354261|8812466
HGNC:27351	221143	ENSG00000150456	13q12.11	EEF1AKMT1	eukaryotic translation elongation factor 1 alpha lysine methyltransferase 1		26545399
HGNC:3208	1933	ENSG00000114942	02q33.3	EEF1B2	eukaryotic translation elongation factor 1 beta 2		8250921
HGNC:3211	1936	ENSG00000104529	08q24.3	EEF1D	eukaryotic translation elongation factor 1 delta		8334168
HGNC:3212	9521	ENSG00000124802	06p24.3	EEF1E1	eukaryotic translation elongation factor 1 epsilon 1		9653160
HGNC:3213	1937	ENSG00000254772	11q12.3	EEF1G	eukaryotic translation elongation factor 1 gamma		1598220|1461723
HGNC:3214	1938	ENSG00000167658	19p13.3	EEF2	eukaryotic translation elongation factor 2		2610926|6427766
HGNC:24615	29904	ENSG00000103319	16p12.2	EEF2K	eukaryotic elongation factor 2 kinase		9144159|12051769
HGNC:32221	196483	ENSG00000118894	16p13.3	EEF2KMT	eukaryotic elongation factor 2 lysine methyltransferase		25231979
HGNC:24614	60678	ENSG00000132394	03q21.3	EEFSEC	"eukaryotic elongation factor, selenocysteine-tRNA specific"		10970870|15229221
HGNC:22223	80820	ENSG00000122547	07p14.2	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1		
HGNC:25678	79645	ENSG00000034239	08q11.21	EFCAB1	EF-hand calcium binding domain 1	EF-hand domain containing	12477932
HGNC:28166	84288	ENSG00000203666	01q44	EFCAB2	EF-hand calcium binding domain 2	EF-hand domain containing|Dynein regulatory complex	23427265
HGNC:26379	146779	ENSG00000172421	17q23.2	EFCAB3	EF-hand calcium binding domain 3	EF-hand domain containing	12477932
HGNC:24801	374786	ENSG00000176927	17q11.2	EFCAB5	EF-hand calcium binding domain 5	EF-hand domain containing	
HGNC:24204	64800	ENSG00000186976	22q13.2-q13.31	EFCAB6	EF-hand calcium binding domain 6	EF-hand domain containing	11258795|12612053
HGNC:29379	84455	ENSG00000203965	01p31.3	EFCAB7	EF-hand calcium binding domain 7	EF-hand domain containing	11347906
HGNC:34532	388795	ENSG00000215529	20q11.21	EFCAB8	EF-hand calcium binding domain 8	WD repeat domain containing|EF-hand domain containing	
HGNC:34530	285588	ENSG00000214360	05q35.1	EFCAB9	EF-hand calcium binding domain 9	EF-hand domain containing	
HGNC:20357	90141	ENSG00000140025	14q32.11	EFCAB11	EF-hand calcium binding domain 11	EF-hand domain containing	
HGNC:28061	90288	ENSG00000172771	03q21.3	EFCAB12	EF-hand calcium binding domain 12	EF-hand domain containing	
HGNC:26864	124989	ENSG00000178852	17q21.32	EFCAB13	EF-hand calcium binding domain 13	EF-hand domain containing	
HGNC:29051	9813	ENSG00000159658	01p33	EFCAB14	EF-hand calcium binding domain 14	EF-hand domain containing	9455484
HGNC:25692	79825	ENSG00000114654	03q21.3	EFCC1	EF-hand and coiled-coil domain containing 1	EF-hand domain containing	
HGNC:3218	2202	ENSG00000115380	02p16.1	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	Fibulins	8812496|7799918
HGNC:3219	30008	ENSG00000172638	11q13.1	EFEMP2	EGF containing fibulin like extracellular matrix protein 2	Fibulins	10601734|10982184
HGNC:26330	151651	ENSG00000163576	03p24.3	EFHB	EF-hand domain family member B	EF-hand domain containing	12477932
HGNC:16406	114327	ENSG00000096093	06p12.2	EFHC1	EF-hand domain containing 1	EF-hand domain containing	15258581
HGNC:26233	80258	ENSG00000183690	Xp11.3	EFHC2	EF-hand domain containing 2	X-linked mental retardation|EF-hand domain containing	17221867
HGNC:29556	80303	ENSG00000115468	02q37.1	EFHD1	EF-hand domain family member D1	EF-hand domain containing	21244694
HGNC:28670	79180	ENSG00000142634	01p36.21	EFHD2	EF-hand domain family member D2	EF-hand domain containing	21244694
HGNC:25789	79631	ENSG00000140598	15q25.2	EFL1	elongation factor like GTPase 1		14702039|21536732
HGNC:3221	1942	ENSG00000169242	01q22	EFNA1	ephrin A1	Ephrins	2233719|8660976
HGNC:3222	1943	ENSG00000099617	19p13.3	EFNA2	ephrin A2	Ephrins	
HGNC:3223	1944	ENSG00000143590	01q21.3	EFNA3	ephrin A3	Ephrins	8660976
HGNC:3224	1945	ENSG00000243364	01q21.3	EFNA4	ephrin A4	Ephrins	8660976
HGNC:3225	1946	ENSG00000184349	05q21.3	EFNA5	ephrin A5	Ephrins	8661153|9245480
HGNC:3226	1947	ENSG00000090776	Xq13.1	EFNB1	ephrin B1	Ephrins	7774950|16526919
HGNC:3227	1948	ENSG00000125266	13q33.3	EFNB2	ephrin B2	Ephrins	7833926
HGNC:3228	1949	ENSG00000108947	17p13.1	EFNB3	ephrin B3	Ephrins	9126477
HGNC:28970	23167	ENSG00000132294	08q24.22	EFR3A	EFR3 homolog A		15363888
HGNC:29155	22979	ENSG00000084710	02p23.3	EFR3B	EFR3 homolog B		10231032
HGNC:16898	10278	ENSG00000100842	14q11.2	EFS	embryonal Fyn-associated substrate	Cas scaffolding proteins	9349509
HGNC:30858	9343	ENSG00000108883	17q21.31	EFTUD2	elongation factor Tu GTP binding domain containing 2		9233818
HGNC:3229	1950	ENSG00000138798	04q25	EGF	epidermal growth factor		
HGNC:3235	25975	ENSG00000198759	Xp22.2	EGFL6	EGF like domain multiple 6		10610727
HGNC:20594	51162	ENSG00000172889	09q34.3	EGFL7	EGF like domain multiple 7		
HGNC:13944	80864	ENSG00000241404	06p21.32	EGFL8	EGF like domain multiple 8		
HGNC:26810	133584	ENSG00000164318	05p13.2-p13.1	EGFLAM	"EGF like, fibronectin type III and laminin G domains"	Fibronectin type III domain containing	18641643|20078962|22760553
HGNC:3236	1956	ENSG00000146648	07p11.2	EGFR	epidermal growth factor receptor	Erb-b2 receptor tyrosine kinases	1505215
HGNC:1232	54583	ENSG00000135766	01q42.2	EGLN1	egl-9 family hypoxia inducible factor 1	Zinc fingers MYND-type	11056053
HGNC:14660	112398	ENSG00000269858	19q13.2	EGLN2	egl-9 family hypoxia inducible factor 2		
HGNC:14661	112399	ENSG00000129521	14q13.1	EGLN3	egl-9 family hypoxia inducible factor 3		
HGNC:3238	1958	ENSG00000120738	05q31.2	EGR1	early growth response 1	Zinc fingers C2H2-type	3127059
HGNC:3239	1959	ENSG00000122877	10q21.3	EGR2	early growth response 2	Zinc fingers C2H2-type	
HGNC:3240	1960	ENSG00000179388	08p21.3	EGR3	early growth response 3	Zinc fingers C2H2-type	1906159|11909874
HGNC:3241	1961	ENSG00000135625	02p13.2	EGR4	early growth response 4	Zinc fingers C2H2-type	1584812
HGNC:29144	23301	ENSG00000115504	02p15	EHBP1	EH domain binding protein 1		10048485
HGNC:30682	254102	ENSG00000173442	11q13.1	EHBP1L1	EH domain binding protein 1 like 1		
HGNC:3242	10938	ENSG00000110047	11q13.1	EHD1	EH domain containing 1	EF-hand domain containing	10395801|10673336
HGNC:3243	30846	ENSG00000024422	19q13.33	EHD2	EH domain containing 2	EF-hand domain containing	10673336
HGNC:3244	30845	ENSG00000013016	02p23.1	EHD3	EH domain containing 3	EF-hand domain containing	10673336
HGNC:3245	30844	ENSG00000103966	15q15.1	EHD4	EH domain containing 4	EF-hand domain containing	10673336|11533061
HGNC:3246	26298	ENSG00000135373	11p13	EHF	ETS homologous factor	ETS transcription factor family	10527851
HGNC:3247	1962	ENSG00000113790	03q27.2	EHHADH	enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase		8188243
HGNC:24650	79813	ENSG00000181090	09q34.3	EHMT1	euchromatic histone lysine methyltransferase 1	Ankyrin repeat domain containing|Lysine methyltransferases	11347906|12004135
HGNC:14129	10919	ENSG00000204371	06p21.33	EHMT2	euchromatic histone lysine methyltransferase 2	Ankyrin repeat domain containing|Lysine methyltransferases	8457211|11316813
HGNC:13276	9538	ENSG00000149547	11q24.2	EI24	"EI24, autophagy associated transmembrane protein"		10594026|9305847
HGNC:1191	23741	ENSG00000255302	15q21.1	EID1	EP300 interacting inhibitor of differentiation 1		10828624|11073990
HGNC:28292	163126	ENSG00000176396	19q13.2	EID2	EP300 interacting inhibitor of differentiation 2		14585496
HGNC:26796	126272	ENSG00000176401	19q13.2	EID2B	EP300 interacting inhibitor of differentiation 2B		15970276
HGNC:32961	493861	ENSG00000255150	12q23.3	EID3	EP300 interacting inhibitor of differentiation 3		15987788|15752197
HGNC:3249	10209	ENSG00000173812	17q21.2	EIF1	eukaryotic translation initiation factor 1		7904817|10347211
HGNC:28147	84285	ENSG00000175376	11q13.1	EIF1AD	eukaryotic translation initiation factor 1A domain containing		12477932
HGNC:3250	1964	ENSG00000173674	Xp22.12	EIF1AX	"eukaryotic translation initiation factor 1A, X-linked"		8106356|9381176
HGNC:3252	9086	ENSG00000198692	Yq11.223	EIF1AY	"eukaryotic translation initiation factor 1A, Y-linked"		9381176
HGNC:30792	10289	ENSG00000114784	03p22.1	EIF1B	eukaryotic translation initiation factor 1B		7904817
HGNC:3254	83939	ENSG00000144895	03q25.1	EIF2A	eukaryotic translation initiation factor 2A		12133843|1620067
HGNC:24921	27102	ENSG00000086232	07p22.1	EIF2AK1	eukaryotic translation initiation factor 2 alpha kinase 1		7709427|10718198
HGNC:9437	5610	ENSG00000055332	02p22.2	EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2	Protein phosphatase 1 regulatory subunits	1351683
HGNC:3255	9451	ENSG00000172071	02p11.2	EIF2AK3	eukaryotic translation initiation factor 2 alpha kinase 3		10026192|10575235
HGNC:19687	440275	ENSG00000128829	15q15.1	EIF2AK4	eukaryotic translation initiation factor 2 alpha kinase 4		10504407
HGNC:3257	1967	ENSG00000111361	12q24.31	EIF2B1	eukaryotic translation initiation factor 2B subunit alpha		
HGNC:3258	8892	ENSG00000119718	14q24.3	EIF2B2	eukaryotic translation initiation factor 2B subunit beta		8887689
HGNC:3259	8891	ENSG00000070785	01p34.1	EIF2B3	eukaryotic translation initiation factor 2B subunit gamma		10900014
HGNC:3260	8890	ENSG00000115211	02p23.3	EIF2B4	eukaryotic translation initiation factor 2B subunit delta		8929216|7982969
HGNC:3261	8893	ENSG00000145191	03q27.1	EIF2B5	eukaryotic translation initiation factor 2B subunit epsilon		8688466
HGNC:6583	1939	ENSG00000143486	01q32.1	EIF2D	eukaryotic translation initiation factor 2D		20566627
HGNC:3265	1965	ENSG00000134001	14q23.3	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha		2948954
HGNC:3266	8894	ENSG00000125977	20q11.22	EIF2S2	eukaryotic translation initiation factor 2 subunit beta	Protein phosphatase 1 regulatory subunits	3044606
HGNC:3267	1968	ENSG00000130741	Xp22.11	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma		8106381|9736774
HGNC:3271	8661	ENSG00000107581	10q26.11	EIF3A	eukaryotic translation initiation factor 3 subunit A	Eukaryotic translation initiation factor 3	9054404|8590280
HGNC:3280	8662	ENSG00000106263	07p22.3	EIF3B	eukaryotic translation initiation factor 3 subunit B	RNA binding motif containing|Eukaryotic translation initiation factor 3	8995410
